Player,Position,Team,Opp.,Pass Cmp.,Pass Att.,Pass Yd.,Pass TD,Int.,Rush Att.,Rush Yd.,Rush TD,Fum.,Tgt,Rec.,Rec Yd.,Rec TD,FPTS
D'Ernest Johnson,RB,JAX,HOU,,,,,,1.5,6.2,0.05,,0.4,0.3,2.3,0.02,1.4
Payne Durham,TE,TB,PHI,,,,,,,,,,1,0.7,6.9,0.06,1.4
Xavier Gipson,WR,NYJ,DEN,,,,,,0.1,0.5,0.01,,0.7,0.4,5.1,0.1,1.4
Harrison Bryant,TE,LV,CLE,,,,,,,,,,0.5,0.3,3.4,0.16,1.4
Trent Sherfield Sr.,WR,MIN,GB,,,,,,,,,,,0.5,6.8,0.06,1.3
C.J. Ham,FB,MIN,GB,,,,,,0.3,1.4,0.02,,0.7,0.6,4.2,0.05,1.3
Luke Farrell,TE,JAX,HOU,,,,,,,,,,0.4,0.3,3.1,0.14,1.3
John Bates,TE,WAS,ARI,,,,,,,,,,0.7,0.5,4.8,0.09,1.3
Devin Duvernay,WR,JAX,HOU,,,,,,,,,,,0.3,3.4,0.12,1.2
Charlie Woerner,TE,ATL,NO,,,,,,,,,,0.7,0.5,3.8,0.09,1.2
Tanner Hudson,TE,CIN,CAR,,,,,,,,,,,0.5,3.8,0.1,1.2
Skyy Moore,WR,KC,LAC,,,,,,,,,,,0.5,5.8,0.06,1.2
Jared Wiley,TE,KC,LAC,,,,,,,,,,,0.5,5.2,0.07,1.2
Erik Ezukanma,WR,MIA,TEN,,,,,,,,,,,0.5,6.9,0.04,1.2
Julian Hill,TE,MIA,TEN,,,,,,,,,,0.6,0.4,4.2,0.1,1.2
Blake Corum,RB,LA,CHI,,,,,,1.4,5.5,0.06,,0.2,0.1,0.7,0.01,1.1
Chris Conley,WR,SF,NE,,,,,,,,,,,0.4,4.3,0.07,1.1
Tyreik McAllister,WR,LV,CLE,,,,,,,,,,0.9,0.6,7.5,,1.1
AJ Barner,TE,SEA,DET,,,,,,,,,,0.7,0.5,4.5,0.07,1.1
Nick Vannett,TE,TEN,MIA,,,,,,,,,,,0.4,3.5,0.08,1
Laviska Shenault Jr.,WR,SEA,DET,,,,,,0.3,1.3,0.01,,0.8,0.4,4.4,0.03,1
Eric Gray,RB,NYG,DAL,,,,,,0.6,2.6,0.04,,,0.3,1.3,0.02,0.9
Drew Ogletree,TE,IND,PIT,,,,,,,,,,0.6,0.4,4.5,0.05,0.9
Tyler Goodson,RB,IND,PIT,,,,,,0.3,1,0.01,,,0.4,3,0.04,0.9
Bo Melton,WR,GB,MIN,,,,,,0.4,1.8,0.05,,0.2,0.1,1.3,0.04,0.9
British Brooks,RB,HOU,JAX,,,,,,1.2,4.5,0.05,,,0.1,0.6,0.01,0.9
Jordan Mims,RB,NO,ATL,,,,,,0.4,1.4,0.05,,0.2,0.1,1.4,0.05,0.9
Trenton Irwin,WR,CIN,CAR,,,,,,,,,,,0.2,3,0.08,0.9
Jamison Crowder,WR,WAS,ARI,,,,,,,,,,,0.4,4.3,0.04,0.9
JaMycal Hasty,RB,NE,SF,,,,,,0.4,2,0.03,,0.5,0.3,2,0.03,0.9
Charlie Kolar,TE,BAL,BUF,,,,,,,,,,,0.3,3.3,0.07,0.9
Patrick Ricard,FB,BAL,BUF,,,,,,,,,,,0.4,3.6,0.06,0.9
Connor Heyward,TE,PIT,IND,,,,,,,,,,0.4,0.3,2.8,0.07,0.8
Adam Prentice,FB,NO,ATL,,,,,,,,,,,0.4,2.5,0.05,0.8
Bub Means,WR,NO,ATL,,,,,,,,,,,0.1,1.3,0.1,0.8
Hunter Long,TE,LA,CHI,,,,,,,,,,0.5,0.3,3.5,0.05,0.8
Will Shipley,RB,PHI,TB,,,,,,,,,,,0.2,1.9,0.08,0.8
Michael Burton,FB,DEN,NYJ,,,,,,,,,,0.7,0.5,2.6,0.05,0.8
Chris Moore,WR,ARI,WAS,,,,,,,,,,,0.2,3,0.07,0.8
Tylan Wallace,WR,BAL,BUF,,,,,,,,,,,0.2,2.4,0.07,0.8
KhaDarel Hodge,WR,ATL,NO,,,,,,,,,,,0.2,2.3,0.06,0.7
Charlie Jones,WR,CIN,CAR,,,,,,,,,,0.2,0.1,1.1,0.09,0.7
Nate Adkins,TE,DEN,NYJ,,,,,,,,,,0.5,0.3,3.2,0.03,0.7
Isaiah Davis,RB,NYJ,DEN,,,,,,0.5,2.3,0.03,,,0.1,1.2,0.02,0.7
Jacob Cowing,WR,SF,NE,,,,,,,,,,,0.2,1.9,0.06,0.7
Javon Baker,WR,NE,SF,,,,,,,,,,,0.2,1.9,0.07,0.7
Tanner Conner,TE,MIA,TEN,,,,,,,,,,,0.4,3.7,0.02,0.7
Nick Westbrook-Ikhine,WR,TEN,MIA,,,,,,,,,,,0.3,3.5,0.04,0.7
Brevyn Spann-Ford,TE,DAL,NYG,,,,,,,,,,,0.1,1.2,0.07,0.6
Chris Brooks,RB,GB,MIN,,,,,,0.4,1.3,0.02,,,0.1,1.3,0.02,0.6
Tyler Scott,WR,CHI,LA,,,,,,,,,,,0.1,1,0.07,0.6
Ko Kieft,TE,TB,PHI,,,,,,,,,,,0.1,1,0.07,0.6
Malachi Corley,WR,NYJ,DEN,,,,,,0.1,0.8,0.02,,,0.1,1.3,0.04,0.6
Zach Pascal,WR,ARI,WAS,,,,,,,,,,,0.1,0.9,0.08,0.6
Patrick Taylor Jr.,RB,SF,NE,,,,,,0.3,1,0.04,,,0.1,0.5,0.02,0.6
Jake Tonges,TE,SF,NE,,,,,,,,,,,0.1,0.9,0.08,0.6
Parker Hesse,TE,DET,SEA,,,,,,,,,,0.1,0.1,0.6,0.08,0.6
Kenny McIntosh,RB,SEA,DET,,,,,,0.1,0.5,0.04,,,0.1,0.5,0.04,0.6
Sione Vaki,RB,DET,SEA,,,,,,0.2,0.8,0.02,,,0.2,1.6,0.03,0.6
Chris Manhertz,TE,NYG,DAL,,,,,,,,,,0.2,0.1,1.2,0.06,0.5
Trishton Jackson,WR,MIN,GB,,,,,,,,,,,0.1,1.1,0.06,0.5
Ben Sims,TE,GB,MIN,,,,,,,,,,,0.1,1.1,0.06,0.5
Ross Dwelley,TE,ATL,NO,,,,,,,,,,,0.1,1,0.05,0.5
Marcedes Lewis,TE,CHI,LA,,,,,,,,,,,0.1,1.3,0.05,0.5
Kayshon Boutte,WR,NE,SF,,,,,,,,,,,0.1,1.1,0.06,0.5
Mecole Hardman,WR,KC,LAC,,,,,,0.1,0.4,0.02,,,0.1,0.9,0.03,0.5
Reggie Gilliam,FB,BUF,BAL,,,,,,,,,,,0.1,1.3,0.05,0.5
Craig Reynolds,RB,DET,SEA,,,,,,,,,,,0.1,0.9,0.06,0.5
Dallin Holker,TE,NO,ATL,,,,,,,,,,,0.2,1.9,0.02,0.4
Sean Tucker,RB,TB,PHI,,,,,,0.1,0.6,0.06,,,,,,0.4
Trayveon Williams,RB,CIN,CAR,,,,,,,,,,,0.1,0.8,0.05,0.4
Jordan Matthews,TE,CAR,CIN,,,,,,,,,,,0.2,2,0.02,0.4
Quintin Morris,TE,BUF,BAL,,,,,,,,,,,0.1,0.5,0.05,0.4
Deonte Harty,WR,BAL,BUF,,,,,,,,,,,0.1,0.6,0.05,0.4
Jaheim Bell,TE,NE,SF,,,,,,,,,,,0.1,1,0.03,0.3
Brenden Bates,TE,NYJ,DEN,,,,,,,,,,,,0.4,0.03,0.2
Brady Russell,TE,SEA,DET,,,,,,,,,,,,0.4,0.03,0.2
Josh Allen,QB,BUF,BAL,22.2,34.4,247.5,1.5,0.8,7.7,36.9,0.48,0.3,,,,,20.3
Kyler Murray,QB,ARI,WAS,19.9,28.1,226.2,1.6,0.5,5.8,35.3,0.38,0.2,,,,,19.9
Jayden Daniels,QB,WAS,ARI,19,28.1,215.3,1.3,0.7,10.1,48.6,0.47,0.3,,,,,19.5
Lamar Jackson,QB,BAL,BUF,18.5,28.6,199.6,1.2,0.5,9.4,58.1,0.37,0.3,,,,,19.2
C.J. Stroud,QB,HOU,JAX,24,35,270.2,1.8,0.5,3.6,9.8,0.17,0.2,,,,,18.6
Jalen Hurts,QB,PHI,TB,21,31.5,214.3,1.2,0.7,9.4,40,0.46,0.3,,,,,18.1
Dak Prescott,QB,DAL,NYG,22.9,34.1,253.9,1.8,0.6,3.1,9.5,0.19,0.2,,,,,17.8
Joe Burrow,QB,CIN,CAR,23.5,34.6,252.7,1.8,0.6,3.8,11.8,0.16,0.2,,,,,17.8
Patrick Mahomes,QB,KC,LAC,24.4,34.5,253.3,1.5,0.7,4.3,19,0.21,0.2,,,,,17.5
Geno Smith,QB,SEA,DET,23.5,34.7,253.3,1.5,0.8,3.2,12.3,0.15,0.2,,,,,16.3
Brock Purdy,QB,SF,NE,19.9,28,229.5,1.5,0.3,2.1,8.6,0.18,0.2,,,,,16.1
Justin Fields,QB,PIT,IND,18.5,28.2,192.1,0.7,0.4,8.8,42.5,0.42,0.3,,,,,15.9
Baker Mayfield,QB,TB,PHI,22.3,32.7,242.6,1.4,0.8,3.6,13.6,0.14,0.2,,,,,15.5
Aaron Rodgers,QB,NYJ,DEN,21,31.7,224.5,1.5,0.3,1.6,4.2,0.13,0.2,,,,,15.2
Jared Goff,QB,DET,SEA,22.9,34.9,239.6,1.5,0.5,1.5,2,0.1,0.2,,,,,15
Daniel Jones,QB,NYG,DAL,19.6,31.5,201.1,1,0.7,6.5,32.7,0.27,0.3,,,,,14.9
Jordan Love,QB,GB,MIN,21.3,32.1,232.3,1.5,0.8,1.9,5.7,0.15,0.2,,,,,14.8
Caleb Williams,QB,CHI,LA,19.7,31.6,219.4,1.2,0.9,4.7,21.8,0.24,0.3,,,,,14.8
Sam Darnold,QB,MIN,GB,20.2,31.7,232.2,1.3,0.8,3,11.1,0.19,0.2,,,,,14.7
Anthony Richardson,QB,IND,PIT,16.1,27,191.1,0.7,0.9,7.6,39.2,0.43,0.3,,,,,14.5
Andy Dalton,QB,CAR,CIN,22.9,35.9,247.9,1.4,0.9,1.7,4.9,0.1,0.2,,,,,14.4
Trevor Lawrence,QB,JAX,HOU,19.9,32.2,222,1.2,0.9,3.6,15.8,0.19,0.2,,,,,14.2
Deshaun Watson,QB,CLE,LV,19.7,32.7,206.8,0.8,0.7,5.3,23.9,0.24,0.2,,,,,13.5
Kirk Cousins,QB,ATL,NO,21.5,33.6,227.9,1.4,0.9,1.3,1,0.09,0.2,,,,,13.2
Derek Carr,QB,NO,ATL,20.1,30.8,224.1,1.3,0.9,1.6,1.9,0.08,0.2,,,,,12.6
Will Levis,QB,TEN,MIA,20.5,32.6,214.4,0.8,0.9,4.1,17.9,0.22,0.3,,,,,12.5
Bo Nix,QB,DEN,NYJ,19.5,33.6,196.5,0.7,1,5.8,27.8,0.25,0.3,,,,,12.3
Gardner Minshew,QB,LV,CLE,18.9,30.7,202.9,1.1,0.7,2.1,7.1,0.12,0.3,,,,,11.9
Tyler Huntley,QB,MIA,TEN,15.9,15.9,158.6,0.7,0.6,7.9,27.2,0.21,,,,,,11.9
Matthew Stafford,QB,LA,CHI,20.6,32.1,215.8,1.2,0.9,1.2,1,0.08,0.2,,,,,11.8
Jacoby Brissett,QB,NE,SF,15.7,26.8,167.6,0.8,0.6,3.9,13.9,0.13,0.3,,,,,10.3
Justin Herbert,QB,LAC,KC,18.2,27.7,181.5,0.9,0.6,2.5,6.1,0.11,0.3,,,,,10.3
